Korridor 1,Korridor 2,Fahrten
HUB – Thun Bahnhof,SBB IC/EC/ICE – Bern (z.B. Zürich),4233.886084
SBB IC/EC/ICE – Bern (z.B. Zürich),HUB – Thun Bahnhof,4233.886084
HUB – Thun Bahnhof,SBB IC/EC/ICE – Spiez Brig Interlaken,2849.373922
SBB IC/EC/ICE – Spiez Brig Interlaken,HUB – Thun Bahnhof,2849.373922
HUB – Thun Bahnhof,BLS S1 – Freiburg/Fribourg ↔ Bern,1279.179536
BLS S1 – Freiburg/Fribourg ↔ Bern,HUB – Thun Bahnhof,1279.179536
Stocken/Pohlern (z.B. Bus 3),SBB IC/EC/ICE – Bern (z.B. Zürich),1169.437419
SBB IC/EC/ICE – Bern (z.B. Zürich),Stocken/Pohlern (z.B. Bus 3),1169.437419
HUB – Thun Bahnhof,BLS S44/S4 – Gürbetal/Seftigen,1065.966952
BLS S44/S4 – Gürbetal/Seftigen,HUB – Thun Bahnhof,1065.966952
SBB IC/EC/ICE – Spiez Brig Interlaken,BLS S41/S42 – Heimberg/Steffisburg,648.7060436
BLS S41/S42 – Heimberg/Steffisburg,SBB IC/EC/ICE – Spiez Brig Interlaken,648.7060436
SBB IC/EC/ICE – Spiez Brig Interlaken,Stocken/Pohlern (z.B. Bus 3),576.8133979
Stocken/Pohlern (z.B. Bus 3),SBB IC/EC/ICE – Spiez Brig Interlaken,576.8133979
SBB IC/EC/ICE – Spiez Brig Interlaken,BLS S44/S4 – Gürbetal/Seftigen,517.8713978
BLS S44/S4 – Gürbetal/Seftigen,SBB IC/EC/ICE – Spiez Brig Interlaken,517.8713978
BLS S41/S42 – Heimberg/Steffisburg,HUB – Thun Bahnhof,424.9563897
HUB – Thun Bahnhof,BLS S41/S42 – Heimberg/Steffisburg,424.9563897
SBB IC/EC/ICE – Spiez Brig Interlaken,BLS S1 – Freiburg/Fribourg ↔ Bern,421.7527589
BLS S1 – Freiburg/Fribourg ↔ Bern,SBB IC/EC/ICE – Spiez Brig Interlaken,421.7527589
Stocken/Pohlern (z.B. Bus 3),BLS S44/S4 – Gürbetal/Seftigen,395.6461475
BLS S44/S4 – Gürbetal/Seftigen,Stocken/Pohlern (z.B. Bus 3),395.6461475
Thunersee-Nordufer (z.B. Bus 21),SBB IC/EC/ICE – Bern (z.B. Zürich),389.7936397
SBB IC/EC/ICE – Bern (z.B. Zürich),Thunersee-Nordufer (z.B. Bus 21),389.7936397
Steffisburg-Korridor (z.B. Bus 41/42/43),SBB IC/EC/ICE – Bern (z.B. Zürich),381.4157267
SBB IC/EC/ICE – Bern (z.B. Zürich),Steffisburg-Korridor (z.B. Bus 41/42/43),381.4157267
Stocken/Pohlern (z.B. Bus 3),BLS S1 – Freiburg/Fribourg ↔ Bern,358.5051441
BLS S1 – Freiburg/Fribourg ↔ Bern,Stocken/Pohlern (z.B. Bus 3),358.5051441
SBB IC/EC/ICE – Spiez Brig Interlaken,Steffisburg-Korridor (z.B. Bus 41/42/43),327.9351206
Steffisburg-Korridor (z.B. Bus 41/42/43),SBB IC/EC/ICE – Spiez Brig Interlaken,327.9351206
SBB IC/EC/ICE – Bern (z.B. Zürich),BLS S41/S42 – Heimberg/Steffisburg,327.1531247
BLS S41/S42 – Heimberg/Steffisburg,SBB IC/EC/ICE – Bern (z.B. Zürich),327.1531247
SBB IC/EC/ICE – Bern (z.B. Zürich),Spiez/Einigen (z.B. Bus 1),266.6631519
Spiez/Einigen (z.B. Bus 1),SBB IC/EC/ICE – Bern (z.B. Zürich),266.6631519
BLS S41/S42 – Heimberg/Steffisburg,Stocken/Pohlern (z.B. Bus 3),185.0572492
Stocken/Pohlern (z.B. Bus 3),BLS S41/S42 – Heimberg/Steffisburg,185.0572492
Stocken/Pohlern (z.B. Bus 3),HUB – Thun Bahnhof,160.198303
HUB – Thun Bahnhof,Stocken/Pohlern (z.B. Bus 3),160.198303
Thunersee-Nordufer (z.B. Bus 21),SBB IC/EC/ICE – Spiez Brig Interlaken,152.6128304
